Individual,Trial,Repetition,Result_type,Result,Sex,SVL,Mass
CATEST4,Soc2,B,centimeters,1,M,890,441
CATEST5,Soc2,A,centimeters,1,F,82.2,335
CATEST9,Soc2,A,centimeters,1,M,800,384.1
CATEST9,Soc2,B,centimeters,1,M,800,384.1
CATEST10,Soc2,A,centimeters,1,M,1002,772
CATEST10,Soc2,B,centimeters,1,M,1002,772
CATEST11,Soc2,A,centimeters,1,F,830,325
CATEST12,Soc2,A,centimeters,1,M,792,283
CATEST12,Soc2,B,centimeters,1,M,792,283
CATEST13,Soc2,A,centimeters,1,M,696,287
CATEST13,Soc2,B,centimeters,1,M,696,287
CATEST14,Soc2,A,centimeters,1,M,679,159
CATEST14,Soc2,B,centimeters,1,M,679,159
CATEST15,Soc2,A,centimeters,1,M,933,454.3
CATEST15,Soc2,B,centimeters,1,M,933,454.3
CATEST16,Soc2,A,centimeters,1,M,699,232
CATEST16,Soc2,B,centimeters,1,M,699,232
CATEST17,Soc2,A,centimeters,1,F,775,258.2
CATEST17,Soc2,B,centimeters,1,F,775,258.2
CATEST18,Soc2,A,centimeters,1,F,684,156.8
CATEST18,Soc2,B,centimeters,1,F,684,156.8
CATEST19,Soc2,A,centimeters,1,M,769,215.7
CATEST19,Soc2,B,centimeters,1,M,769,215.7
CATEST20,Soc2,A,centimeters,1,M,687,193.6
CATEST20,Soc2,B,centimeters,1,M,687,193.6
CATEST21,Soc2,A,centimeters,1,M,831,359.6
CATEST21,Soc2,B,centimeters,1,M,831,359.6
CATEST22,Soc2,A,centimeters,1,M,702,150.6
CATEST22,Soc2,B,centimeters,1,M,702,150.6
CATEST23,Soc2,A,centimeters,1,F,745,197.8
CATEST24,Soc2,A,centimeters,1,F,741,276.4
CATEST24,Soc2,B,centimeters,1,F,741,276.4
CATEST23,Soc2,B,centimeters,1,F,745,197.8
CATEST2,Soc2,A,centimeters,0,F,782,232
CATEST11,Soc2,B,centimeters,0,F,830,325
CATEST8,Soc2,A,centimeters,0,M,920,454
CATEST2,Soc2,B,centimeters,0,F,782,232
CATEST6,Soc2,A,centimeters,0,M,971,771
CATEST6,Soc2,B,centimeters,0,M,971,771
CATEST7,Soc2,A,centimeters,0,M,908,406
CATEST7,Soc2,B,centimeters,0,M,908,406
CATEST8,Soc2,B,centimeters,0,M,920,454
CATEST5,Soc2,B,centimeters,0,F,82.2,335
