Individual,Trial,Repetition,Result_type,Result,Sex,SVL,Mass
CATEST18,Agg2,A,seconds_rattling,4,F,684,156.8
CATEST16,Agg2,A,seconds_rattling,5,M,699,232
CATEST7,Agg2,A,seconds_rattling,6,M,908,406
CATEST17,Agg2,A,seconds_rattling,7,F,775,258.2
CATEST3,Agg2,A,seconds_rattling,8,M,840,382
CATEST20,Agg2,A,seconds_rattling,8,M,687,193.6
CATEST6,Agg2,A,seconds_rattling,9,M,971,771
CATEST12,Agg2,A,seconds_rattling,12,M,792,283
CATEST12,Agg2,B,seconds_rattling,17,M,792,283
CATEST24,Agg2,A,seconds_rattling,23,F,741,276.4
CATEST22,Agg2,A,seconds_rattling,27,M,702,150.6
CATEST13,Agg2,B,seconds_rattling,28,M,696,287
CATEST18,Agg2,B,seconds_rattling,31,F,684,156.8
CATEST20,Agg2,B,seconds_rattling,31,M,687,193.6
CATEST4,Agg2,B,seconds_rattling,32,M,890,441
CATEST10,Agg2,B,seconds_rattling,46,M,1002,772
CATEST11,Agg2,B,seconds_rattling,46,F,830,325
CATEST10,Agg2,A,seconds_rattling,51,M,1002,772
CATEST24,Agg2,B,seconds_rattling,53,F,741,276.4
CATEST8,Agg2,B,seconds_rattling,55,M,920,454
CATEST23,Agg2,B,seconds_rattling,55,F,745,197.8
CATEST3,Agg2,B,seconds_rattling,61,M,840,382
CATEST5,Agg2,B,seconds_rattling,63,F,82.2,335
CATEST2,Agg2,A,seconds_rattling,64,F,782,232
CATEST5,Agg2,A,seconds_rattling,64,F,82.2,335
CATEST7,Agg2,B,seconds_rattling,65,M,908,406
CATEST9,Agg2,B,seconds_rattling,68,M,800,384.1
CATEST22,Agg2,B,seconds_rattling,73,M,702,150.6
CATEST8,Agg2,A,seconds_rattling,74,M,920,454
CATEST21,Agg2,A,seconds_rattling,75,M,831,359.6
CATEST11,Agg2,A,seconds_rattling,85,F,830,325
CATEST21,Agg2,B,seconds_rattling,91,M,831,359.6
CATEST23,Agg2,A,seconds_rattling,99,F,745,197.8
CATEST17,Agg2,B,seconds_rattling,110,F,775,258.2
CATEST9,Agg2,A,seconds_rattling,180,M,800,384.1
CATEST13,Agg2,A,seconds_rattling,186,M,696,287
CATEST2,Agg2,B,seconds_rattling,208,F,782,232
CATEST19,Agg2,A,seconds_rattling,211,M,769,215.7
CATEST6,Agg2,B,seconds_rattling,276,M,971,771
CATEST19,Agg2,B,seconds_rattling,300,M,769,215.7
CATEST8,Bold ,A,seconds_headOUT,11,M,920,454
CATEST15,Bold ,B,seconds_headOUT,94,M,933,454.3
CATEST15,Bold ,B,seconds_bodyOUT,229,M,933,454.3
CATEST15,Bold ,A,seconds_headOUT,429,M,933,454.3
CATEST17,Bold ,A,seconds_headOUT,700,F,775,258.2
CATEST21,Bold ,B,seconds_headOUT,822,M,831,359.6
CATEST21,Bold ,A,seconds_headOUT,837,M,831,359.6
CATEST12,Bold ,B,seconds_headOUT,880,M,792,283
CATEST14,Bold ,B,seconds_headOUT,885,M,679,159
CATEST13,Bold ,B,seconds_headOUT,917,M,696,287
CATEST10,Bold ,A,seconds_headOUT,945,M,1002,772
CATEST21,Bold ,B,seconds_bodyOUT,972,M,831,359.6
